区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
G,横山,KUT-302C,1.0,1,PA-KUT-302C,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,DC-7110HA30,1.0,1,PA-DC-7110HA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,EF80-00701BA,1.0,1,PL-EF80-00701BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,G-3001VH38,1.0,1,AO-G-3001VH38,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,DC-7110GD21,1.0,1,PA-DC-7110GD21,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
G,横山,K-2001G-26,1.0,1,PL-K-2001G-26,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002JA,1.0,1,AO-KF22-002JA,1.0,1.0,MC-KF22-002CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002KA,1.0,1,AO-KF22-002KA,1.0,1.0,MC-KF22-002KA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002LA,1.0,1,AO-KF22-002LA,1.0,1.0,MC-KF22-002LA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002MA,1.0,1,AO-KF22-002MA,1.0,1.0,MC-KF22-002MA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
L,大澤,KF22-002NA,1.0,1,AO-KF22-002NA,1.0,1.0,MC-KF22-002NA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
